"iati-identifier","title","reporting-org","total-commitment","total-spend","currency","link","activity-status"
"CH-4-2021-2018010969","HEKS, CASC Cantines Scolaires Commun","Switzerland - Swiss Agency for Development and Cooperation (SDC)","157,459","157,459","USD","https://d-portal.org/ctrack.html#view=act&aid=CH-4-2021-2018010969",2
"CA-3-P001055002","Strengthening Mother, Newborn and Child Health in Haiti - COVID-19 response","Canada - Global Affairs Canada | Affaires mondiales Canada","1,391,888","1,392,140","USD","https://d-portal.org/ctrack.html#view=act&aid=CA-3-P001055002",4
"NL-KVK-40409352-PRJ13-065-0001","Restoring Paradise (Green Pearls) NLRC Haiti","Netherlands Red Cross","1,013,851","1,013,851","USD","https://d-portal.org/ctrack.html#view=act&aid=NL-KVK-40409352-PRJ13-065-0001",4
"US-GOV-1-720FDA19IO00062","Award to support prepositioned NFIs and training of DPC staff in preparation for 2019-20 hurricane season","United States Agency for International Development (USAID)","1,328,619","1,328,619","USD","https://d-portal.org/ctrack.html#view=act&aid=US-GOV-1-720FDA19IO00062",3
"GB-GOV-13-OODA-BBSRC-JWSN6AS-U8FTTBA-DHX6X6E","A reverse vaccinology approach to a bTB vaccine","UK - Department for Business, Energy and Industrial Strategy (BEIS)","1,594,996","1,675,199","USD","https://d-portal.org/ctrack.html#view=act&aid=GB-GOV-13-OODA-BBSRC-JWSN6AS-U8FTTBA-DHX6X6E",5
"US-GOV-1-AID-521-A-14-00006","DRG Leahy War Victims Fund (Haiti)","United States Agency for International Development (USAID)","3,499,999","3,499,994","USD","https://d-portal.org/ctrack.html#view=act&aid=US-GOV-1-AID-521-A-14-00006",3
"XM-DAC-47066-EP.0007","NFI Stockpile Management and Capacity Building for Emergency Preparedness – Hurricane season 2019 - 2021","International Organization for Migration (IOM)",0,0,"USD","https://d-portal.org/ctrack.html#view=act&aid=XM-DAC-47066-EP.0007",3
"XM-DAC-50-21-Z03-19-01-08100","Haití 2019 Género. Desarrollo de capacidades para trabajadoras del Parque Industrial de Puerto Prínc","Spanish Agency for International Development Cooperation (AECID)","166,688","166,688","USD","https://d-portal.org/ctrack.html#view=act&aid=XM-DAC-50-21-Z03-19-01-08100",2
"US-GOV-1-720FDA20GR00222","Haiti COVID-19 Assistance","United States Agency for International Development (USAID)","1,500,000","1,477,942","USD","https://d-portal.org/ctrack.html#view=act&aid=US-GOV-1-720FDA20GR00222",3
"US-GOV-21-50337","Haitian Youth Peace Building Initiative in Bel-Air and Saint Martin","Inter-American Foundation","59,340","59,340","USD","https://d-portal.org/ctrack.html#view=act&aid=US-GOV-21-50337",3
"XM-DAC-50-21-Z04-19-01-00500","Haití 2019 Seguridad Alimentaria FAO","Spanish Agency for International Development Cooperation (AECID)","444,502","444,502","USD","https://d-portal.org/ctrack.html#view=act&aid=XM-DAC-50-21-Z04-19-01-00500",2
"US-GOV-11-SINLEC19CA0321-87558","Haiti Travel and Logistics Program for Training Su","United States Department of State","285,892","285,892","USD","https://d-portal.org/ctrack.html#view=act&aid=US-GOV-11-SINLEC19CA0321-87558",3
